id,image_url,latitude,longitude,species_guess,scientific_name,scientific_name_valid,scientific_name_found,common_name,taxon_id
100006457,https://inaturalist-open-data.s3.amazonaws.com/photos/166846870/medium.jpg,20.63290615,-156.4977177,Brighteye Damselfish,Plectroglyphidodon imparipennis,YES,,Brighteye Damselfish,203922
100021943,https://inaturalist-open-data.s3.amazonaws.com/photos/166874722/medium.jpg,-17.596453,178.984054,Blackbar Damselfish,Plectroglyphidodon dickii,YES,,Blackbar Damselfish,204597
100021947,https://inaturalist-open-data.s3.amazonaws.com/photos/166874734/medium.jpg,-17.598907,178.988775,Twospot Demoiselle,Chrysiptera biocellata,YES,,Twospot Demoiselle,341387
10003312,https://static.inaturalist.org/photos/13754331/medium.jpg,-10.42625064,105.6683074,Three-spot Dascyllus,Dascyllus trimaculatus,YES,,Three-spot Dascyllus,49303
100207301,https://static.inaturalist.org/photos/167215119/medium.jpg,-30.01784,153.27135,Blue-eye Damsel,Plectroglyphidodon johnstonianus,YES,,Blue-eye Damsel,196591
100238253,https://inaturalist-open-data.s3.amazonaws.com/photos/167270652/medium.jpg,-17.599193,178.991661,Humbug,Dascyllus aruanus,YES,,Humbug,952775
100349540,https://inaturalist-open-data.s3.amazonaws.com/photos/167471169/medium.jpeg,-17.69509342,177.072418,Blackbar Damselfish,Plectroglyphidodon dickii,YES,,Blackbar Damselfish,204597
100349839,https://inaturalist-open-data.s3.amazonaws.com/photos/167472026/medium.jpeg,-18.25598585,177.8296148,Dusky Gregory,Stegastes nigricans,YES,,Dusky Gregory,49922
100350042,https://inaturalist-open-data.s3.amazonaws.com/photos/167472248/medium.jpeg,-18.25627113,177.8291856,Dusky Gregory,Stegastes nigricans,YES,,Dusky Gregory,49922
100350334,https://inaturalist-open-data.s3.amazonaws.com/photos/167472936/medium.jpeg,-17.67058847,177.1073795,South Seas Demoiselle,Chrysiptera taupou,YES,,South Seas Demoiselle,181017
100391715,https://inaturalist-open-data.s3.amazonaws.com/photos/167547772/medium.jpg,-20.85179873,165.4235458,Golden Damselfish,Amblyglyphidodon aureus,YES,,Golden Damselfish,134155
100487342,https://static.inaturalist.org/photos/167726123/medium.jpeg,-15.11777571,-75.38498942,Castañuelas y afines,Chrominae,NO,Chromis caerulea,Chromis and Allied Damselfishes,1303642
100509529,https://inaturalist-open-data.s3.amazonaws.com/photos/167761313/medium.jpg,18.35279372,-66.06278756,Blue-green Chromis,Chromis viridis,YES,,Blue-green Chromis,179880
100607535,https://inaturalist-open-data.s3.amazonaws.com/photos/167939570/medium.jpg,25.34793026,34.77663629,Yellow-side Damselfish,Amblyglyphidodon flavilatus,YES,,Yellow-side Damselfish,371763
100623120,https://inaturalist-open-data.s3.amazonaws.com/photos/167968007/medium.jpeg,-0.605679385,130.5030713,Neon Damselfish,Pomacentrus coelestis,YES,,Neon Damselfish,132371
10064685,https://inaturalist-open-data.s3.amazonaws.com/photos/13855848/medium.jpg,-33.79887924,151.2978437,Blackbar Damselfish,Plectroglyphidodon dickii,YES,,Blackbar Damselfish,204597
100653692,https://inaturalist-open-data.s3.amazonaws.com/photos/168021543/medium.jpg,-17.16952912,177.196137,Amblypomacentrus tricinctus,Amblypomacentrus tricinctus,YES,,Threeband Demoiselle,1316560
100655431,https://inaturalist-open-data.s3.amazonaws.com/photos/168025839/medium.jpg,12.21538508,-68.3368814,Threespot Damselfish,Stegastes planifrons,YES,,Threespot Damselfish,49304
100782652,https://inaturalist-open-data.s3.amazonaws.com/photos/168240804/medium.jpg,26.78288689,-80.04233091,Caribbean Cocoa Damselfish,Stegastes xanthurus,YES,,Caribbean Cocoa Damselfish,619700
100819456,https://inaturalist-open-data.s3.amazonaws.com/photos/168309614/medium.jpg,12.21538508,-68.3368814,Threespot Damselfish,Stegastes planifrons,YES,,Threespot Damselfish,49304
100839297,https://inaturalist-open-data.s3.amazonaws.com/photos/168343992/medium.jpg,25.33722101,34.74067226,Jewel Damsel,Stegastes lacrymatus,YES,,Jewel Damsel,1325088
100887169,https://static.inaturalist.org/photos/168431492/medium.jpeg,36.1298246,-79.83310355,Blue Chromis,Azurina cyanea,YES,,Blue Chromis,1315935
100912687,https://inaturalist-open-data.s3.amazonaws.com/photos/168477831/medium.jpeg,4.091104,72.8621326,Three-spot Dascyllus,Dascyllus trimaculatus,YES,,Three-spot Dascyllus,49303
100931683,https://inaturalist-open-data.s3.amazonaws.com/photos/168508698/medium.jpg,12.0705035,-68.28067303,Blue Chromis,Azurina cyanea,YES,,Blue Chromis,1315935
101031346,https://inaturalist-open-data.s3.amazonaws.com/photos/168686064/medium.jpg,12.270786,-68.414354,Yellowtail Damselfish,Microspathodon chrysurus,YES,,Yellowtail Damselfish,49753
101034151,https://static.inaturalist.org/photos/168690849/medium.jpg,-17.1333333,179.1333333,Yelloweye Damselfish,Pomacentrus flavioculus,YES,,Yelloweye Damselfish,1015406
101102447,https://inaturalist-open-data.s3.amazonaws.com/photos/168806856/medium.jpg,12.051255,-68.272242,Yellowtail Damselfish,Microspathodon chrysurus,YES,,Yellowtail Damselfish,49753
101107030,https://static.inaturalist.org/photos/168815266/medium.jpg,-17.1333333,179.1333333,Reticulated Damselfish,Dascyllus reticulatus,YES,,Reticulated Damselfish,179872
10110799,https://static.inaturalist.org/photos/13938018/medium.jpg,-31.555326,159.082121,Multispine Damsel,Neoglyphidodon polyacanthus,YES,,Multispine Damsel,424819
10110803,https://static.inaturalist.org/photos/13938045/medium.jpg,-31.555326,159.082121,Multispine Damsel,Neoglyphidodon polyacanthus,YES,,Multispine Damsel,424819
101109563,https://static.inaturalist.org/photos/168820077/medium.jpg,-17.1333333,179.1333333,Three-spot Dascyllus,Dascyllus trimaculatus,YES,,Three-spot Dascyllus,49303
101109633,https://static.inaturalist.org/photos/168820180/medium.jpg,-17.1333333,179.1333333,Reticulated Damselfish,Dascyllus reticulatus,YES,,Reticulated Damselfish,179872
10119159,https://static.inaturalist.org/photos/13951644/medium.jpg,-31.555326,159.082121,Multispine Damsel,Neoglyphidodon polyacanthus,YES,,Multispine Damsel,424819
10119323,https://static.inaturalist.org/photos/13951930/medium.jpg,-31.555326,159.082121,Johnston Damsel,Plectroglyphidodon johnstonianus,YES,,Blue-eye Damsel,196591
10119453,https://static.inaturalist.org/photos/13952154/medium.jpg,-31.555326,159.082121,Multispine Damsel,Neoglyphidodon polyacanthus,YES,,Multispine Damsel,424819
101429970,https://inaturalist-open-data.s3.amazonaws.com/photos/169392785/medium.jpg,12.17075683,-68.28872084,Bicolor Damselfish,Stegastes partitus,YES,,Bicolor Damselfish,128183
101431252,https://inaturalist-open-data.s3.amazonaws.com/photos/169395355/medium.jpg,12.17075683,-68.28872084,Threespot Damselfish,Stegastes planifrons,YES,,Threespot Damselfish,49304
10148562,https://inaturalist-open-data.s3.amazonaws.com/photos/14002575/medium.jpeg,33.34917025,-118.3249413,Garibaldi,Hypsypops rubicundus,YES,,Garibaldi,53693
101597733,https://inaturalist-open-data.s3.amazonaws.com/photos/169694302/medium.jpeg,4.263287797,73.00028366,Jewel Damsel,Stegastes lacrymatus,YES,,Jewel Damsel,1325088
101646444,https://inaturalist-open-data.s3.amazonaws.com/photos/169770481/medium.jpeg,-27.42407924,153.5489555,Neon Damselfish,Pomacentrus coelestis,YES,,Neon Damselfish,132371
101835759,https://inaturalist-open-data.s3.amazonaws.com/photos/170115446/medium.jpg,25.46996945,34.6820377,Green Damselfish,Amblyglyphidodon indicus,YES,,Green Damselfish,311609
101925929,https://static.inaturalist.org/photos/170265174/medium.jpg,-18.61023861,146.487206,Damselfishes and Anemonefishes,Pomacentridae,NO,Pomacentrus grammorhynchus,Damselfishes,48313
102031730,https://inaturalist-open-data.s3.amazonaws.com/photos/170482953/medium.jpg,25.34072535,34.73941649,Green Damselfish,Amblyglyphidodon indicus,YES,,Green Damselfish,311609
102115080,https://inaturalist-open-data.s3.amazonaws.com/photos/170637435/medium.jpg,18.30706686,-64.86841897,Threespot Damselfish,Stegastes planifrons,YES,,Threespot Damselfish,49304
102123927,https://inaturalist-open-data.s3.amazonaws.com/photos/170653115/medium.jpg,12.17075683,-68.28872084,Bicolor Damselfish,Stegastes partitus,YES,,Bicolor Damselfish,128183
102124266,https://inaturalist-open-data.s3.amazonaws.com/photos/170654091/medium.jpg,12.17075683,-68.28872084,Longfin Damselfish,Stegastes diencaeus,YES,,Longfin Damselfish,128185
102140461,https://inaturalist-open-data.s3.amazonaws.com/photos/170684781/medium.jpg,-21.81682869,114.1917036,Regal Demoiselle,Neopomacentrus cyanomos,YES,,Regal Demoiselle,358376
102141152,https://inaturalist-open-data.s3.amazonaws.com/photos/170685322/medium.jpg,-21.86862107,114.1580602,Blackbar Damselfish,Plectroglyphidodon dickii,YES,,Blackbar Damselfish,204597
102142699,https://inaturalist-open-data.s3.amazonaws.com/photos/170688517/medium.jpg,-21.81682869,114.1917036,Blue-scribbled Damsel,Pomacentrus nagasakiensis,YES,,Blue-scribbled Damsel,358838
102292046,https://inaturalist-open-data.s3.amazonaws.com/photos/170960152/medium.jpg,-21.86862107,114.1580602,Reticulated Damselfish,Dascyllus reticulatus,YES,,Reticulated Damselfish,179872
102296590,https://inaturalist-open-data.s3.amazonaws.com/photos/170968704/medium.jpg,-21.86862107,114.1580602,Lemon Damsel,Pomacentrus moluccensis,YES,,Lemon Damsel,181028
102297761,https://inaturalist-open-data.s3.amazonaws.com/photos/170971129/medium.jpg,-21.86862107,114.1580602,Blue-scribbled Damsel,Pomacentrus nagasakiensis,YES,,Blue-scribbled Damsel,358838
102298106,https://inaturalist-open-data.s3.amazonaws.com/photos/170971705/medium.jpg,-21.86862107,114.1580602,Blue-eye Damsel,Plectroglyphidodon johnstonianus,YES,,Blue-eye Damsel,196591
102330583,https://inaturalist-open-data.s3.amazonaws.com/photos/171030432/medium.jpg,7.342421993,98.80615398,Whitetail Damsel,Pomacentrus chrysurus,YES,,Whitetail Damsel,447759
102330592,https://inaturalist-open-data.s3.amazonaws.com/photos/171030509/medium.jpg,7.342421993,98.80615398,Green Damselfish,Amblyglyphidodon indicus,YES,,Green Damselfish,311609
102331142,https://inaturalist-open-data.s3.amazonaws.com/photos/171031672/medium.jpg,7.342421993,98.80615398,Thai Damsel,Pomacentrus polyspinus,YES,,Thai damsel,619683
102332941,https://inaturalist-open-data.s3.amazonaws.com/photos/171034922/medium.jpg,7.342421993,98.80615398,Peacock Damsel,Pomacentrus pavo,YES,,Peacock Damsel,119717
102332944,https://inaturalist-open-data.s3.amazonaws.com/photos/171034978/medium.jpg,7.342421993,98.80615398,Thai Damsel,Pomacentrus polyspinus,YES,,Thai damsel,619683
102332945,https://inaturalist-open-data.s3.amazonaws.com/photos/171034988/medium.jpg,7.342421993,98.80615398,Thai Damsel,Pomacentrus polyspinus,YES,,Thai damsel,619683
102333599,https://inaturalist-open-data.s3.amazonaws.com/photos/171036496/medium.jpg,7.342421993,98.80615398,Thai Damsel,Pomacentrus polyspinus,YES,,Thai damsel,619683
102387508,https://inaturalist-open-data.s3.amazonaws.com/photos/171138055/medium.jpeg,-20.7429393,164.257008,Whitebelly Damsel,Amblyglyphidodon leucogaster,YES,,Whitebelly Damsel,181015
102392222,https://inaturalist-open-data.s3.amazonaws.com/photos/171147996/medium.jpeg,15.66889228,-96.48112893,Giant Damselfish,Microspathodon dorsalis,YES,,Giant Damselfish,105832
102422062,https://inaturalist-open-data.s3.amazonaws.com/photos/171204539/medium.jpg,7.342421993,98.80615398,Whitetail Damsel,Pomacentrus chrysurus,YES,,Whitetail Damsel,447759
102422063,https://inaturalist-open-data.s3.amazonaws.com/photos/171204535/medium.jpg,7.342421993,98.80615398,Whitetail Damsel,Pomacentrus chrysurus,YES,,Whitetail Damsel,447759
102468369,https://inaturalist-open-data.s3.amazonaws.com/photos/171295798/medium.jpg,25.66241862,34.58627662,Green Damselfish,Amblyglyphidodon indicus,YES,,Green Damselfish,311609
102528193,https://inaturalist-open-data.s3.amazonaws.com/photos/171411539/medium.jpg,-23.43995568,151.9124859,Humbug,Dascyllus aruanus,YES,,Humbug,952775
102588949,https://inaturalist-open-data.s3.amazonaws.com/photos/171526573/medium.jpg,20.69501479,-156.4450195,Brighteye Damselfish,Plectroglyphidodon imparipennis,YES,,Brighteye Damselfish,203922
102588958,https://inaturalist-open-data.s3.amazonaws.com/photos/171525906/medium.jpg,-15.46380938,145.6850288,Golden Damselfish,Amblyglyphidodon aureus,YES,,Golden Damselfish,134155
102664924,https://inaturalist-open-data.s3.amazonaws.com/photos/171669465/medium.jpg,27.09188217,33.87883695,Damselfishes,Pomacentrinae,NO,Pomacentrus trilineatus,Typical Damselfishes and Anemonefishes,606190
102669282,https://inaturalist-open-data.s3.amazonaws.com/photos/171674833/medium.jpg,7.342421993,98.80615398,Blue-scribbled Damsel,Pomacentrus nagasakiensis,YES,,Blue-scribbled Damsel,358838
102669576,https://inaturalist-open-data.s3.amazonaws.com/photos/171677902/medium.jpg,7.342421993,98.80615398,Peacock Damsel,Pomacentrus pavo,YES,,Peacock Damsel,119717
102701667,https://inaturalist-open-data.s3.amazonaws.com/photos/171737933/medium.jpeg,2.754792174,73.0269115,Three-spot Dascyllus,Dascyllus trimaculatus,YES,,Three-spot Dascyllus,49303
102708413,https://inaturalist-open-data.s3.amazonaws.com/photos/171750364/medium.jpeg,28.91842873,-13.66859983,Atlantische monniksvis,Chromis limbata,YES,,Atlantic Damselfish,342041
102751764,https://inaturalist-open-data.s3.amazonaws.com/photos/171828208/medium.jpg,33.54413756,-117.799715,Garibaldi,Hypsypops rubicundus,YES,,Garibaldi,53693
