"","DietEcotype","Symbiosis","Habitat","body_ratio","head_ratio","snout_ratio","eye_ratio","peduncle_ratio","anal_fin_ratio","pelvic_fin_ratio","eye_height","snout_angle","peduncle_depth_factor","relative_body_length","source1","source2","source3"
"Abudefduf_abdominalis","I","No","rocky-reef",0.521171480885728,0.171355525499368,0.534226576471099,0.323695058489801,0.0177264436671282,0.246658902740291,0.085274810483168,0.692941094377962,1.29375016736695,1.58144046411662,0.542136236067906,"https://www.fishbase.se/summary/Abudefduf-abdominalis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_bengalensis","B","No","rocky-reef",0.599274206969795,0.17367545706233,0.509189587099697,0.368897349778731,0.013927870469897,0.251173974819012,0.0735590694287595,0.641763507051433,1.20143634605328,2.17882697667003,0.523148260804462,"https://www.fishbase.se/summary/Abudefduf-bengalensis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_caudobimaculatus","I","No","rocky-reef",0.502289280069246,0.177984615413278,0.473291431409396,0.499158225853672,0.02020606704476,0.228662000619733,0.117001055549569,0.671829137954725,1.19744474418127,1.6205262674165,0.542335331947007,NA,"ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_concolor","B","No","rocky-reef",0.546517419110631,0.166714282435855,0.433182600133511,0.334477709967103,0.0187245114487276,0.213330790525611,0.0723305361510221,0.692780868032038,1.28677935477232,1.99274101155485,0.531022624598432,"https://www.fishbase.se/summary/Abudefduf-concolor.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_conformis","I","No","rocky-reef",0.591948538799789,0.175274692691358,0.491032250520372,0.446212050107018,0.020290362856809,0.280066378370057,0.0593522446241775,0.624920576455602,1.2616582609439,1.66797633474331,0.538939940926916,"https://www.fishbase.se/summary/Abudefduf-conformis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_declivifrons","B","No","rocky-reef",0.549632008539022,0.1930448107933,0.452203030584249,0.412869208262232,0.0170427372641763,0.210670445716231,0.0835386312541374,0.638566953954847,1.1996951075807,1.85188089006297,0.5368612237196,"https://www.fishbase.se/summary/Abudefduf-declivifrons.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_hoefleri","I","No","coral-reef",0.566041598190913,0.194660671647161,0.560488849643717,0.326752263207284,0.018882943291717,0.265842593173623,0.0791118192939736,0.575174624708279,1.17374974129127,1.36223189124384,0.545389179761735,"https://www.fishbase.se/summary/Abudefduf-hoefleri.html","ReefLifeSurvey, FishesOfAustralia, Reeflex","Bosch et al. 2022"
"Abudefduf_lorenzi","I","No","coral-reef",0.579838671719552,0.150222901382838,0.396365090818457,0.421280968866494,0.0203558112910313,0.227754215949071,0.123684229392753,0.631698428623024,1.30842486170047,1.72989169643983,0.524317747333491,"https://www.fishbase.se/summary/Abudefduf-lorenzi.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_margariteus","I","No","rocky-reef",0.525425567938997,0.168360092645341,0.462630155482227,0.433940388676127,0.0171434129396629,0.261258200428717,0.0536800350308851,0.688455066597015,1.25156436037216,1.54241895867448,0.540573492997037,"https://www.fishbase.se/summary/Abudefduf-margariteus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_natalensis","B","No","rocky-reef",0.55069273177757,0.206419420752479,0.520365489641163,0.441428325522098,0.0167347389156795,0.244496198729995,0.0897241578623155,0.598844374194479,1.14189520964984,1.77405011312489,0.541567665861065,"https://www.fishbase.se/summary/Abudefduf-natalensis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
