"","habitat1","habitat2","habitat3","habitat4","behavior","type1","type2","source","link"
"Abudefduf abdominalis","rocky-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Abudefduf-abdominalis.html","source"
"Abudefduf bengalensis","lagoon","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-bengalensis.html","source"
"Abudefduf concolor","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-concolor.html","source"
"Abudefduf conformis","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-conformis.html","source"
"Abudefduf declivifrons","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-declivifrons.html","source"
"Abudefduf hoefleri","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-hoefleri.html","source"
"Abudefduf lorenzi","coral-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-lorenzi.html","source"
"Abudefduf margariteus","rocky-reef","","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Abudefduf-margariteus.html","source"
"Abudefduf natalensis","rocky-reef","","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Abudefduf-natalensis.html","source"
"Abudefduf nigrimargo","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-nigrimargo.html","source"
"Abudefduf notatus","rocky-reef","lagoon","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-notatus.html","source"
"Abudefduf saxatilis","rocky-reef","sandy-bottom","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-saxatilis.html","source"
"Abudefduf septemfasciatus","lagoon","coral-reef","","","site-attached","inshore-reef","inshore-reef","https://www.fishbase.se/summary/Abudefduf-septemfasciatus.html","source"
"Abudefduf sexfasciatus","rocky-reef","coral-reef","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Abudefduf-sexfasciatus.html","source"
"Abudefduf sordidus","rocky-reef","lagoon","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-sordidus.html","source"
