"","Comparison","colorPC","morphoPC","Slope","P","R2","BestModel","P_adj"
"1","ColorPC7_MorphoPC3","ColorPC7","MorphoPC3",0.176691128007534,0.001647346944332,0.0448700959358065,"Pagel",0.013178775554656
"2","ColorPC6_MorphoPC4","ColorPC6","MorphoPC4",-0.160885838991798,0.00338836387553577,0.04497093360184,"Pagel",0.0271069110042862
"3","ColorPC5_MorphoPC1","ColorPC5","MorphoPC1",0.166908934802662,0.00520704997591395,0.0272480428346541,"Pagel",0.0352039493060822
"4","ColorPC5_MorphoPC6","ColorPC5","MorphoPC6",-0.142719447937371,0.00880098732652056,0.0197314186912606,"OU",0.0352039493060822
"5","ColorPC3_MorphoPC2","ColorPC3","MorphoPC2",0.157994163576744,0.00511564925052189,0.0199248889508406,"Pagel",0.0409251940041751
"6","ColorPC7_MorphoPC6","ColorPC7","MorphoPC6",-0.184930332927614,0.0116035294993185,0.00357983494601038,"Pagel",0.0464141179972741
"7","ColorPC3_MorphoPC8","ColorPC3","MorphoPC8",0.130729943615422,0.0170848494343727,0.019926769759432,"Pagel",0.0683393977374907
"8","ColorPC4_MorphoPC1","ColorPC4","MorphoPC1",0.141522962575621,0.0114287754448364,0.0638622426166541,"Pagel",0.0914302035586911
"9","ColorPC1_MorphoPC5","ColorPC1","MorphoPC5",-0.134724567583924,0.0156150821874587,0.0206135246757558,"Pagel",0.12492065749967
"10","ColorPC7_MorphoPC1","ColorPC7","MorphoPC1",-0.112039336604211,0.0633454235596375,8.51805075976496e-07,"Pagel",0.126690847119275
"11","ColorPC7_MorphoPC2","ColorPC7","MorphoPC2",-0.101946373048018,0.0499865224472033,0.00677575920870131,"Pagel",0.126690847119275
"12","ColorPC7_MorphoPC4","ColorPC7","MorphoPC4",0.0902884328510186,0.100503716340353,0.0244359187183297,"Pagel",0.160805946144564
"13","ColorPC4_MorphoPC2","ColorPC4","MorphoPC2",0.0795125642939291,0.109161910518879,0.00670394231675311,"Pagel",0.174659056830206
"14","ColorPC4_MorphoPC6","ColorPC4","MorphoPC6",0.117039977740804,0.0889766260121845,0.0222835765315612,"Pagel",0.174659056830206
"15","ColorPC4_MorphoPC7","ColorPC4","MorphoPC7",-0.0996125961455253,0.0680595812773622,0.00127688363517251,"Pagel",0.174659056830206
"16","ColorPC4_MorphoPC8","ColorPC4","MorphoPC8",0.0780089715417988,0.0987541913300385,0.00563413588064729,"Pagel",0.174659056830206
"17","ColorPC3_MorphoPC3","ColorPC3","MorphoPC3",-0.112054154966289,0.0655618804537944,0.00872594986530443,"Pagel",0.174831681210118
"18","ColorPC6_MorphoPC5","ColorPC6","MorphoPC5",-0.104348150830387,0.0438918966172314,0.00334186459362458,"Pagel",0.175567586468925
"19","ColorPC8_MorphoPC1","ColorPC8","MorphoPC1",-0.116725803856443,0.0330011381294703,0.0123234891478219,"OU",0.197688105098837
"20","ColorPC8_MorphoPC6","ColorPC8","MorphoPC6",-0.107037886701228,0.0494220262747093,0.012589261254381,"OU",0.197688105098837
"21","ColorPC3_MorphoPC1","ColorPC3","MorphoPC1",0.0971190081318049,0.0993251476801884,0.0219691915714404,"Pagel",0.198650295360377
"22","ColorPC5_MorphoPC8","ColorPC5","MorphoPC8",0.0952939059102039,0.0828435281272146,0.012481599232497,"Pagel",0.220916075005905
"23","ColorPC8_MorphoPC7","ColorPC8","MorphoPC7",-0.0911016899184334,0.0956165296574565,0.00953873039788732,"OU",0.254977412419884
"24","ColorPC2_MorphoPC1","ColorPC2","MorphoPC1",-0.104232295208157,0.0603328369218215,0.00799704548847727,"Pagel",0.292553342670362
"25","ColorPC2_MorphoPC6","ColorPC2","MorphoPC6",0.10815073927682,0.109707503501386,0.000118361288824764,"Pagel",0.292553342670362
"26","ColorPC2_MorphoPC7","ColorPC2","MorphoPC7",-0.0962711901983225,0.07331116496865,0.00157659703958093,"Pagel",0.292553342670362
"27","ColorPC2_MorphoPC4","ColorPC2","MorphoPC4",0.0659158287287706,0.202477298675743,0.0101606165638864,"Pagel",0.340408914695633
"28","ColorPC2_MorphoPC8","ColorPC2","MorphoPC8",0.0581556951585035,0.212755571684771,0.0228178131467839,"Pagel",0.340408914695633
"29","ColorPC6_MorphoPC6","ColorPC6","MorphoPC6",0.0949760526829176,0.186402620864093,0.0696005796653252,"Pagel",0.372805241728186
"30","ColorPC6_MorphoPC7","ColorPC6","MorphoPC7",0.0793833900633564,0.166371262046139,0.00505654983694537,"Pagel",0.372805241728186
"31","ColorPC1_MorphoPC1","ColorPC1","MorphoPC1",-0.0731459873180043,0.244004897506014,0.00146581938770555,"Pagel",0.382848027204261
"32","ColorPC1_MorphoPC2","ColorPC1","MorphoPC2",-0.0606772974818868,0.280392483523096,0.00578265550851107,"Pagel",0.382848027204261
"33","ColorPC1_MorphoPC4","ColorPC1","MorphoPC4",0.0632415840341654,0.287136020403196,0.0220701533138051,"Pagel",0.382848027204261
