"","PC","tip","shift_value","regime","shift_node","shift_edge","bootstrap_support"
"7","colorPC2","Amphiprion_akallopisos",194.382975423168,"1",599,210,0.97
"16","colorPC2","Amphiprion_akindynos",194.382975423168,"1",599,210,0.97
"24","colorPC2","Amphiprion_allardi",194.382975423168,"1",599,210,0.97
"12","colorPC2","Amphiprion_barberi",194.382975423168,"1",599,210,0.97
"1","colorPC2","Amphiprion_biaculeatus",194.382975423168,"1",599,210,0.97
"20","colorPC2","Amphiprion_bicinctus",194.382975423168,"1",599,210,0.97
"18","colorPC2","Amphiprion_chagosensis",194.382975423168,"1",599,210,0.97
"26","colorPC2","Amphiprion_chrysogaster",194.382975423168,"1",599,210,0.97
"27","colorPC2","Amphiprion_chrysopterus",194.382975423168,"1",599,210,0.97
"5","colorPC2","Amphiprion_clarkii",194.382975423168,"1",599,210,0.97
"11","colorPC2","Amphiprion_ephippium",194.382975423168,"1",599,210,0.97
"13","colorPC2","Amphiprion_frenatus",194.382975423168,"1",599,210,0.97
"4","colorPC2","Amphiprion_latezonatus",194.382975423168,"1",599,210,0.97
"25","colorPC2","Amphiprion_latifasciatus",194.382975423168,"1",599,210,0.97
"28","colorPC2","Amphiprion_leucokranos",194.382975423168,"1",599,210,0.97
"17","colorPC2","Amphiprion_mccullochi",194.382975423168,"1",599,210,0.97
"14","colorPC2","Amphiprion_melanopus",194.382975423168,"1",599,210,0.97
"19","colorPC2","Amphiprion_nigripes",194.382975423168,"1",599,210,0.97
"2","colorPC2","Amphiprion_ocellaris",194.382975423168,"1",599,210,0.97
"21","colorPC2","Amphiprion_omanensis",194.382975423168,"1",599,210,0.97
"9","colorPC2","Amphiprion_pacificus",194.382975423168,"1",599,210,0.97
"3","colorPC2","Amphiprion_percula",194.382975423168,"1",599,210,0.97
"8","colorPC2","Amphiprion_perideraion",194.382975423168,"1",599,210,0.97
"22","colorPC2","Amphiprion_polymnus",194.382975423168,"1",599,210,0.97
"15","colorPC2","Amphiprion_rubrocinctus",194.382975423168,"1",599,210,0.97
"10","colorPC2","Amphiprion_sandaracinos",194.382975423168,"1",599,210,0.97
"23","colorPC2","Amphiprion_sebae",194.382975423168,"1",599,210,0.97
"6","colorPC2","Amphiprion_tricinctus",194.382975423168,"1",599,210,0.97
"33","colorPC2","Hypsypops_rubicundus",86.4560920083286,"2",352,682,0.7
"53","colorPC2","Lepidozygus_tapeinosoma",86.4560920083286,"2",352,682,0.7
"29","colorPC2","Microspathodon_bairdii",86.4560920083286,"2",352,682,0.7
"30","colorPC2","Microspathodon_chrysurus",86.4560920083286,"2",352,682,0.7
"31","colorPC2","Microspathodon_dorsalis",86.4560920083286,"2",352,682,0.7
"32","colorPC2","Nexilosus_latifrons",86.4560920083286,"2",352,682,0.7
"44","colorPC2","Plectroglyphidodon_altus",86.4560920083286,"2",352,682,0.7
"45","colorPC2","Plectroglyphidodon_apicalis",86.4560920083286,"2",352,682,0.7
"51","colorPC2","Plectroglyphidodon_aureus",86.4560920083286,"2",352,682,0.7
"41","colorPC2","Plectroglyphidodon_dickii",86.4560920083286,"2",352,682,0.7
"50","colorPC2","Plectroglyphidodon_emeryi",86.4560920083286,"2",352,682,0.7
"47","colorPC2","Plectroglyphidodon_fasciolatus",86.4560920083286,"2",352,682,0.7
"49","colorPC2","Plectroglyphidodon_gascoynei",86.4560920083286,"2",352,682,0.7
"36","colorPC2","Plectroglyphidodon_imparipennis",86.4560920083286,"2",352,682,0.7
"43","colorPC2","Plectroglyphidodon_insularis",86.4560920083286,"2",352,682,0.7
"42","colorPC2","Plectroglyphidodon_johnstonianus",86.4560920083286,"2",352,682,0.7
"38","colorPC2","Plectroglyphidodon_leucozonus",86.4560920083286,"2",352,682,0.7
"48","colorPC2","Plectroglyphidodon_luteobrunneus",86.4560920083286,"2",352,682,0.7
"52","colorPC2","Plectroglyphidodon_marginatus",86.4560920083286,"2",352,682,0.7
"46","colorPC2","Plectroglyphidodon_obreptus",86.4560920083286,"2",352,682,0.7
"40","colorPC2","Plectroglyphidodon_phoenixensis",86.4560920083286,"2",352,682,0.7
"39","colorPC2","Plectroglyphidodon_randalli",86.4560920083286,"2",352,682,0.7
"37","colorPC2","Plectroglyphidodon_sagmarius",86.4560920083286,"2",352,682,0.7
"34","colorPC2","Similiparma_hermani",86.4560920083286,"2",352,682,0.7
"35","colorPC2","Similiparma_lurida",86.4560920083286,"2",352,682,0.7
"65","colorPC2","Stegastes_acapulcoensis",86.4560920083286,"2",352,682,0.7
"76","colorPC2","Stegastes_adustus",86.4560920083286,"2",352,682,0.7
"59","colorPC2","Stegastes_albifasciatus",86.4560920083286,"2",352,682,0.7
"61","colorPC2","Stegastes_arcifrons",86.4560920083286,"2",352,682,0.7
"71","colorPC2","Stegastes_baldwini",86.4560920083286,"2",352,682,0.7
"72","colorPC2","Stegastes_beebei",86.4560920083286,"2",352,682,0.7
"77","colorPC2","Stegastes_diencaeus",86.4560920083286,"2",352,682,0.7
"73","colorPC2","Stegastes_flavilatus",86.4560920083286,"2",352,682,0.7
"62","colorPC2","Stegastes_fuscus",86.4560920083286,"2",352,682,0.7
"63","colorPC2","Stegastes_imbricatus",86.4560920083286,"2",352,682,0.7
"54","colorPC2","Stegastes_lacrymatus",86.4560920083286,"2",352,682,0.7
"74","colorPC2","Stegastes_leucostictus",86.4560920083286,"2",352,682,0.7
"60","colorPC2","Stegastes_limbatus",86.4560920083286,"2",352,682,0.7
"56","colorPC2","Stegastes_lividus",86.4560920083286,"2",352,682,0.7
"58","colorPC2","Stegastes_nigricans",86.4560920083286,"2",352,682,0.7
"75","colorPC2","Stegastes_otophorus",86.4560920083286,"2",352,682,0.7
"69","colorPC2","Stegastes_partitus",86.4560920083286,"2",352,682,0.7
"55","colorPC2","Stegastes_pelicieri",86.4560920083286,"2",352,682,0.7
"70","colorPC2","Stegastes_pictus",86.4560920083286,"2",352,682,0.7
"64","colorPC2","Stegastes_planifrons",86.4560920083286,"2",352,682,0.7
"57","colorPC2","Stegastes_punctatus",86.4560920083286,"2",352,682,0.7
"66","colorPC2","Stegastes_rectifraenum",86.4560920083286,"2",352,682,0.7
"67","colorPC2","Stegastes_rocasensis",86.4560920083286,"2",352,682,0.7
"68","colorPC2","Stegastes_sanctipauli",86.4560920083286,"2",352,682,0.7
"78","colorPC2","Stegastes_variabilis",86.4560920083286,"2",352,682,0.7
"79","colorPC2","Stegastes_xanthurus",86.4560920083286,"2",352,682,0.7
"90","colorPC2","Abudefduf_abdominalis",-114.741629000671,"3",506,366,0.33
"81","colorPC2","Abudefduf_bengalensis",-114.741629000671,"3",506,366,0.33
"86","colorPC2","Abudefduf_caudobimaculatus",-114.741629000671,"3",506,366,0.33
"88","colorPC2","Abudefduf_conformis",-114.741629000671,"3",506,366,0.33
"91","colorPC2","Abudefduf_hoefleri",-114.741629000671,"3",506,366,0.33
"92","colorPC2","Abudefduf_lorenzi",-114.741629000671,"3",506,366,0.33
"84","colorPC2","Abudefduf_margariteus",-114.741629000671,"3",506,366,0.33
"85","colorPC2","Abudefduf_natalensis",-114.741629000671,"3",506,366,0.33
"82","colorPC2","Abudefduf_nigrimargo",-114.741629000671,"3",506,366,0.33
"93","colorPC2","Abudefduf_saxatilis",-114.741629000671,"3",506,366,0.33
"89","colorPC2","Abudefduf_sexfasciatus",-114.741629000671,"3",506,366,0.33
"83","colorPC2","Abudefduf_sparoides",-114.741629000671,"3",506,366,0.33
"94","colorPC2","Abudefduf_troschelii",-114.741629000671,"3",506,366,0.33
"87","colorPC2","Abudefduf_vaigiensis",-114.741629000671,"3",506,366,0.33
"80","colorPC2","Abudefduf_whitleyi",-114.741629000671,"3",506,366,0.33
"95","colorPC2","Chrysiptera_cyanea",-322.308220383134,"4",544,285,0.79
"96","colorPC2","Chrysiptera_taupou",-322.308220383134,"4",544,285,0.79
"210","colorPC3","Dascyllus_abudafur",-98.8629777482814,"1",416,541,0.58
"97","colorPC3","Dascyllus_albisella",-98.8629777482814,"1",416,541,0.58
"310","colorPC3","Dascyllus_aruanus",-98.8629777482814,"1",416,541,0.58
"710","colorPC3","Dascyllus_carneus",-98.8629777482814,"1",416,541,0.58
"510","colorPC3","Dascyllus_flavicaudus",-98.8629777482814,"1",416,541,0.58
"410","colorPC3","Dascyllus_marginatus",-98.8629777482814,"1",416,541,0.58
"110","colorPC3","Dascyllus_melanurus",-98.8629777482814,"1",416,541,0.58
