"","PC","tip","shift_value","regime","shift_node","shift_edge","bootstrap_support"
"1","morphoPC1","Chromis_atripectoralis",21.140359685833,"1",405,564,0.27
"3","morphoPC1","Chromis_flavaxilla",21.140359685833,"1",405,564,0.27
"70","morphoPC1","Chromis_fumea",18.1061325431713,"1",455,480,0.41
"77","morphoPC1","Chromis_katoi",18.1061325431713,"1",455,480,0.41
"78","morphoPC1","Chromis_kennensis",18.1061325431713,"1",455,480,0.41
"72","morphoPC1","Chromis_klunzingeri",18.1061325431713,"1",455,480,0.41
"71","morphoPC1","Chromis_nitida",18.1061325431713,"1",455,480,0.41
"75","morphoPC1","Chromis_notata",18.1061325431713,"1",455,480,0.41
"76","morphoPC1","Chromis_ovalis",18.1061325431713,"1",455,480,0.41
"73","morphoPC1","Chromis_pamae",18.1061325431713,"1",455,480,0.41
"74","morphoPC1","Chromis_randalli",18.1061325431713,"1",455,480,0.41
"4","morphoPC1","Chromis_ternatensis",21.140359685833,"1",405,564,0.27
"2","morphoPC1","Chromis_viridis",21.140359685833,"1",405,564,0.27
"79","morphoPC1","Chromis_yamakawai",18.1061325431713,"1",455,480,0.41
"65","morphoPC1","Azurina_atrilobata",23.98626700749,"2",410,553,0.54
"67","morphoPC1","Azurina_cyanea",23.98626700749,"2",410,553,0.54
"68","morphoPC1","Azurina_elerae",23.98626700749,"2",410,553,0.54
"66","morphoPC1","Azurina_hirundo",23.98626700749,"2",410,553,0.54
"69","morphoPC1","Azurina_lepidolepis",23.98626700749,"2",410,553,0.54
"64","morphoPC1","Azurina_multilineata",23.98626700749,"2",410,553,0.54
"19","morphoPC1","Neopomacentrus_aktites",28.0486632861315,"2",582,209,0.93
"17","morphoPC1","Neopomacentrus_anabatoides",28.0486632861315,"2",582,209,0.93
"16","morphoPC1","Neopomacentrus_aquadulcis",28.0486632861315,"2",582,209,0.93
"14","morphoPC1","Neopomacentrus_azysron",28.0486632861315,"2",582,209,0.93
"21","morphoPC1","Neopomacentrus_bankieri",28.0486632861315,"2",582,209,0.93
"11","morphoPC1","Neopomacentrus_cyanomos",28.0486632861315,"2",582,209,0.93
"20","morphoPC1","Neopomacentrus_filamentosus",28.0486632861315,"2",582,209,0.93
"7","morphoPC1","Neopomacentrus_fuliginosus",28.0486632861315,"2",582,209,0.93
"13","morphoPC1","Neopomacentrus_metallicus",28.0486632861315,"2",582,209,0.93
