model	param	value	predictor	logLik	k	se	EIC	delta.EIC	weight	Pillai	pvalue
BM1	BM1	NA	NA	1	-26472.5518955969	16	14.8912956009382	53731.3019306541	5029.77738867802	0	NA	NA
lambda1	lambda1	lambda	0.50044112631791	1	-24174.7695546996	16	3.13676491490444	48718.252512023	16.7279700469298	0.000200407040325056	NA	NA
OU1	OU1	alpha	0.714750732405578	1	-24628.1798335592	16	3.24362338077036	49618.0598588182	916.535316842099	8.15136292405283e-200	NA	NA
EB1	EB1	a	0	1	-26472.5349414923	16	16.8374503960556	53769.478915597	5067.95437362085	0	NA	NA
model_BM_DietEcotype	model_BM_DietEcotype	NA	NA	DietEcotype	-26379.6084083932	16	13.4362045054046	53510.2995088586	4808.77496688253	0	0.41128003432176	0.001
model_BMM_DietEcotype	model_BMM_DietEcotype	NA	NA	1	-26293.5308025849	16	11.0618121082069	53317.4049834215	4615.88044144536	0	NA	NA
model_lambda_DietEcotype	model_lambda_DietEcotype	lambda	0.500449169600304	DietEcotype	-24131.9169734727	16	3.21347719389531	48701.5245419761	0	0.859697208780911	0.225439169872582	0.001
model_OU_DietEcotype	model_OU_DietEcotype	alpha	0.749500646690237	DietEcotype	-24521.0722839533	16	3.60207942118208	49475.4176278195	773.893085843352	7.68417300619387e-169	0.481031508675979	0.001
model_OUM_DietEcotype	model_OUM_DietEcotype	alpha	0.664570742766482	1	-24520.9562483969	16	3.93941226357951	49497.7300685114	796.205526535326	1.0977721257077e-173	NA	NA
model_EB_DietEcotype	model_EB_DietEcotype	a	0	DietEcotype	-26383.8615631483	16	17.3987909970257	53672.9150124875	4971.3904705114	0	0.410380279025192	0.001
model_BM_Symbiosis	model_BM_Symbiosis	NA	NA	Symbiosis	-26400.1276976476	16	14.2769760665124	53606.3386483905	4904.81410641435	0	0.358992148250304	0.009
model_BMM_Symbiosis	model_BMM_Symbiosis	NA	NA	1	-27448.3736072064	16	18.9660348859731	55674.7610383623	6973.23649638618	0	NA	NA
model_lambda_Symbiosis	model_lambda_Symbiosis	lambda	0.500448223758762	Symbiosis	-24136.5551255643	16	3.07698171772965	48705.1529555266	3.62841355046112	0.14010238394303	0.208252292539583	0.002
model_OU_Symbiosis	model_OU_Symbiosis	alpha	0.920036566781113	Symbiosis	-24460.9853570899	16	3.51764881869314	49357.5521467912	656.027604815121	3.01829123807175e-143	0.703870086927736	0.001
model_OUM_Symbiosis	model_OUM_Symbiosis	alpha	0.820423308131402	1	-24459.1229188892	16	3.25735799099585	49359.1988143581	657.674272381955	1.32492661450846e-143	NA	NA
model_EB_Symbiosis	model_EB_Symbiosis	a	0	Symbiosis	-26403.1026151403	16	17.3597996710957	53685.5853873458	4984.06084536967	0	0.358601451743255	0.015
model_BM_Habitat	model_BM_Habitat	NA	NA	Habitat	-26347.6803655875	16	13.8571506564721	53491.7326799499	4790.20813797375	0	0.573119601045982	0.006
model_BMM_Habitat	model_BMM_Habitat	NA	NA	1	-26224.460199426	16	11.9720205067671	53160.7802144699	4459.25567249383	0	NA	NA
model_lambda_Habitat	model_lambda_Habitat	lambda	0.500454242461527	Habitat	-24124.0241573032	16	4.0125519271961	48745.5588262932	44.0342843170438	2.3573396986326e-10	0.28406699346959	0.002
model_OU_Habitat	model_OU_Habitat	alpha	0.974122082997961	Habitat	-24443.4821040844	16	4.08173520546689	49394.3207496772	692.796207701103	3.13011628934106e-151	0.804175222592415	0.001
model_OUM_Habitat	model_OUM_Habitat	alpha	0.720771091609802	1	-24434.4507428347	16	3.93571400940962	49390.721231744	689.196689767843	1.89315363911398e-150	NA	NA
model_EB_Habitat	model_EB_Habitat	a	0	Habitat	-26350.9804665687	16	17.2990745569954	53659.6177999213	4958.0932579452	0	0.572239665175136	0.004
