model	param	value	predictor	logLik	k	se	EIC	delta.EIC	weight	Pillai	pvalue
BM1	BM1	NA	NA	1	-16681.5451594436	8	4.33350437223091	33549.3007982904	2505.58089125155	0	NA	NA
lambda1	lambda1	lambda	0.513502522879826	1	-15474.0402655143	8	1.6939221302176	31063.4569102834	19.7370032445106	5.17760932228285e-05	NA	NA
OU1	OU1	alpha	0.575964914907973	1	-15608.7439125024	8	2.11262322335216	31334.6822776884	290.962370649566	6.58095724726558e-64	NA	NA
EB1	EB1	a	0	1	-16681.5449887971	8	7.44613261656048	33620.4655672072	2576.74566016836	0	NA	NA
model_BM_DietEcotype	model_BM_DietEcotype	NA	NA	DietEcotype	-16640.7816113882	8	4.45764606904466	33498.1143778345	2454.39447079566	0	0.202679379365322	0.002
model_BMM_DietEcotype	model_BMM_DietEcotype	NA	NA	1	-16530.3129745552	8	5.27037620603736	33284.4091128099	2240.68920577102	0	NA	NA
model_lambda_DietEcotype	model_lambda_DietEcotype	lambda	0.50805026444752	DietEcotype	-15461.2681112576	8	1.79473960250627	31065.2095329005	21.48962586161	2.15552027297876e-05	0.0720238590928865	0.05
model_OU_DietEcotype	model_OU_DietEcotype	alpha	0.585221549522137	DietEcotype	-15578.0107993659	8	1.6295111245915	31296.3760576691	252.656150630202	1.36892311842502e-55	0.166500534464622	0.001
model_OUM_DietEcotype	model_OUM_DietEcotype	alpha	0.54666748994236	1	-15578.8278751219	8	1.87772679796122	31305.2891637348	261.569256695893	1.58826390960116e-57	NA	NA
model_EB_DietEcotype	model_EB_DietEcotype	a	0	DietEcotype	-16640.7815128486	8	8.28279639552108	33566.8354934575	2523.11558641868	0	0.202679400390941	0.003
model_BM_Symbiosis	model_BM_Symbiosis	NA	NA	Symbiosis	-16631.4513669079	8	4.75024001602147	33487.9156565013	2444.19574946244	0	0.250783870005955	0.005
model_BMM_Symbiosis	model_BMM_Symbiosis	NA	NA	1	-16467.1535016976	8	3.85718340865414	33149.1016546702	2105.38174763131	0	NA	NA
model_lambda_Symbiosis	model_lambda_Symbiosis	lambda	0.482607330757686	Symbiosis	-15453.5711174475	8	1.7717310367352	31043.7199070389	0	0.999919589461226	0.112026391125201	0.005
model_OU_Symbiosis	model_OU_Symbiosis	alpha	0.814337461816078	Symbiosis	-15504.7762822577	8	1.91775018796751	31147.5779188691	103.858011830253	2.80210469042011e-23	0.486929951419853	0.001
model_OUM_Symbiosis	model_OUM_Symbiosis	alpha	0.75001930225599	1	-15503.266092412	8	1.96885924679956	31156.6088660418	112.888959002921	3.06506081090974e-25	NA	NA
model_EB_Symbiosis	model_EB_Symbiosis	a	0	Symbiosis	-16631.4512621325	8	7.52854064492562	33553.185623579	2509.46571654015	0	0.250783889841228	0.006
model_BM_Habitat	model_BM_Habitat	NA	NA	Habitat	-16604.2419219163	8	4.33668212105246	33457.7923090355	2414.07240199659	0	0.367731520877081	0.005
model_BMM_Habitat	model_BMM_Habitat	NA	NA	1	-16457.5045553055	8	4.51371805810159	33136.4524429862	2092.73253594732	0	NA	NA
model_lambda_Habitat	model_lambda_Habitat	lambda	0.478317692446448	Habitat	-15445.194974934	8	1.91585481097769	31067.4364334157	23.7165263768075	7.07924282091956e-06	0.160013121922601	0.012
model_OU_Habitat	model_OU_Habitat	alpha	0.800805009931339	Habitat	-15511.0663688492	8	2.0850108357767	31195.6544738159	151.934566776996	1.01810623221919e-33	0.463153953046671	0.001
model_OUM_Habitat	model_OUM_Habitat	alpha	0.691577246232896	1	-15508.5758697223	8	2.2722505758615	31211.0189223559	167.299015317076	4.69294524078869e-37	NA	NA
model_EB_Habitat	model_EB_Habitat	a	0	Habitat	-16604.2416492149	8	8.06055728947496	33534.4361188372	2490.71621179837	0	0.367731637118118	0.004
