model	param	value	predictor	logLik	k	se	EIC	delta.EIC	weight	Pillai	pvalue
BM1	BM1	NA	NA	1	-12635.4561992382	11	8.57112419221689	25686.4282865191	3527.14138379394	0	NA	NA
lambda1	lambda1	lambda	0.603489398762821	1	-10987.3400498262	11	2.45322714831874	22186.2049290407	26.9180263156231	1.42827761618926e-06	NA	NA
OU1	OU1	alpha	0.912635816618344	1	-11426.9272515402	11	2.50496017279431	23045.2275324386	885.940629713514	4.17276942078877e-193	NA	NA
EB1	EB1	a	0	1	-12635.4570808103	11	12.9198442154792	25785.5793487818	3626.29244605666	0	NA	NA
model_BM_DietEcotype	model_BM_DietEcotype	NA	NA	DietEcotype	-12598.8452425347	11	8.32107963005084	25651.293706204	3492.00680347893	0	0.205917854821608	0.011
model_BMM_DietEcotype	model_BMM_DietEcotype	NA	NA	1	-12583.385518787	11	11.630125161435	25666.8262754326	3507.53937270748	0	NA	NA
model_lambda_DietEcotype	model_lambda_DietEcotype	lambda	0.579171122343727	DietEcotype	-10954.4185113476	11	2.63705021607307	22159.2869027251	0	0.999971854361906	0.177035272982991	0.001
model_OU_DietEcotype	model_OU_DietEcotype	alpha	1.05326526077316	DietEcotype	-11321.1398413599	11	2.05818994149502	22878.782006979	719.495104253881	5.80244469039151e-157	0.466430306406616	0.001
model_OUM_DietEcotype	model_OUM_DietEcotype	alpha	0.791494313794137	1	-11317.4334862998	11	2.69217106263464	22883.3599792408	724.073076515662	5.88189088439537e-158	NA	NA
model_EB_DietEcotype	model_EB_DietEcotype	a	0	DietEcotype	-12598.8506402348	11	15.8206064435009	25740.2587724025	3580.97186967735	0	0.205917073551806	0.01
model_BM_Symbiosis	model_BM_Symbiosis	NA	NA	Symbiosis	-12616.7852852849	11	9.09410222259382	25682.9161963935	3523.62929366837	0	0.113652579119722	0.099
model_BMM_Symbiosis	model_BMM_Symbiosis	NA	NA	1	-12478.050626695	11	6.80084774312202	25362.8301519372	3203.5432492121	0	NA	NA
model_lambda_Symbiosis	model_lambda_Symbiosis	lambda	0.599624679618986	Symbiosis	-10962.6215967708	11	2.4607300674908	22180.3472414649	21.060338739826	2.67173466580255e-05	0.135901568325671	0.006
model_OU_Symbiosis	model_OU_Symbiosis	alpha	1.30267116048614	Symbiosis	-11310.6901293242	11	2.47626117614276	22859.8275456111	700.540642885971	7.57739625806125e-153	0.514890853758513	0.001
model_OUM_Symbiosis	model_OUM_Symbiosis	alpha	1.02498771799159	1	-11310.3276565093	11	2.22756703008472	22849.9052983537	690.618395628579	1.08170444701767e-150	NA	NA
model_EB_Symbiosis	model_EB_Symbiosis	a	0	Symbiosis	-12616.787556771	11	15.2657789267903	25805.2070458289	3645.92014310381	0	0.113652409180931	0.105
model_BM_Habitat	model_BM_Habitat	NA	NA	Habitat	-12570.1470830756	11	8.30086282676389	25605.532433171	3446.24553044589	0	0.33836966941095	0.019
model_BMM_Habitat	model_BMM_Habitat	NA	NA	1	-12440.2500768892	11	7.06814685975258	25329.1618753732	3169.8749726481	0	NA	NA
model_lambda_Habitat	model_lambda_Habitat	lambda	0.59932493564149	Habitat	-10960.0302811694	11	2.52693085636462	22209.2967222504	50.0098195253158	1.38195355023616e-11	0.156512766464379	0.145
model_OU_Habitat	model_OU_Habitat	alpha	1.41239379264134	Habitat	-11306.7196431447	11	2.32025905475675	22887.691194564	728.404291838884	6.74536579745593e-159	0.577755834658378	0.001
model_OUM_Habitat	model_OUM_Habitat	alpha	0.807615154154054	1	-11305.6348905686	11	2.48963018121147	22919.1731683728	759.886265647667	9.83516734692878e-166	NA	NA
model_EB_Habitat	model_EB_Habitat	a	0	Habitat	-12570.1495901398	11	13.1833116609932	25737.5119618449	3578.22505911984	0	0.338369082596569	0.01
