TraitSet,PC,model,AIC,k,n_obs,AICc,DeltaAICc,Weight
Color,colorPC1,WN,976.4256673306087,1,343,976.4373975358873,11.734058283275886,0.0025803517553945957
Color,colorPC1,BM,1258.0282001038327,1,343,1258.0399303091112,293.33659105649986,1.830062309105472e-64
Color,colorPC1,EB,1260.0654722260203,1,343,1260.077202431299,295.37386317868754,6.608119015425334e-65
Color,colorPC1,OU,971.819584476027,1,343,971.8313146813056,7.127975428694185,0.025815295271067764
Color,colorPC1,OUM_Diet,964.5252977095847,5,343,964.7033392526114,0,0.9113753850120427
Color,colorPC1,OUM_Symbiosis,970.207213915681,5,343,970.3852554587077,5.681916206096275,0.0531967214479423
Color,colorPC1,OUM_Habitat,974.0979082040903,7,343,974.4322365622993,9.728897309687909,0.0070322465135526134
Color,colorPC2,WN,976.4256673306086,1,343,976.4373975358872,97.14021834251253,8.058785577649738e-22
Color,colorPC2,BM,1127.5693996734367,1,343,1127.5811298787153,248.28395068534064,1.2184988823074642e-54
Color,colorPC2,EB,1129.606596925854,1,343,1129.6183271311327,250.32114793775804,4.400007051773982e-55
Color,colorPC2,OU,932.5504613458075,1,343,932.5621915510861,53.2650123577115,2.7142479989153628e-12
Color,colorPC2,OUM_Diet,919.3648651011391,5,343,919.5429066441658,40.24572745079115,1.8228516387389218e-9
Color,colorPC2,OUM_Symbiosis,879.119137650348,5,343,879.2971791933746,0,0.9999999978053444
Color,colorPC2,OUM_Habitat,922.4028132082285,7,343,922.7371415664375,43.439962373062826,3.6908978240759155e-10
Color,colorPC3,WN,976.4256673306086,1,343,976.4373975358872,5.607460485175579,0.02230972705790061
Color,colorPC3,BM,1305.1847361076811,1,343,1305.1964663129597,334.36652926224815,9.106878329061422e-74
Color,colorPC3,EB,1307.222040482914,1,343,1307.2337706881926,336.40383363748106,3.2883233036614764e-74
Color,colorPC3,OU,971.4007530529218,1,343,971.4124832582004,0.5825462074888037,0.2751949933550341
Color,colorPC3,OUM_Diet,971.2501388145579,5,343,971.4281803575846,0.5982433068729733,0.27304356561238413
