model,AIC,k,n_obs,AICc,PC,region,TraitSet,DeltaAICc,Weight
WN,309.83062959091717,1,343,309.84235979619575,colorPC1,IO,Color,1.1524010477884872,0.20933888146982396
BM,416.2008520636688,1,343,416.21258226894736,colorPC1,IO,Color,107.5226235205401,1.6705118855998164e-24
EB,418.3128075273668,1,343,418.32453773264535,colorPC1,IO,Color,109.63457898423809,5.810911591170427e-25
OU,311.4732988046622,1,343,311.4850290099408,colorPC1,IO,Color,2.7950702615335103,0.09207650194719698
OUM_Diet,310.77912250928875,5,343,310.9571640523155,colorPC1,IO,Color,2.267205303908213,0.11988731419510064
OUM_Habitat,310.4449445872255,7,343,310.77927294543446,colorPC1,IO,Color,2.0893141970271927,0.13103936924853635
OUM_Symbiosis,308.51191720538054,5,343,308.68995874840726,colorPC1,IO,Color,0,0.37246940684805346
DDlin,378.6657723636386,3,343,378.7365688238156,colorPC1,IO,Color,70.04661007540835,2.2943649073632506e-16
DDexp,311.8194748117876,3,343,311.8902712719646,colorPC1,IO,Color,3.2003125235573293,0.07518852629128832
MC,418.3120798325007,3,343,418.3828762926777,colorPC1,IO,Color,109.69291754427041,5.643859719689214e-25
WN,590.9010453410275,1,343,590.9127755463061,colorPC1,IAA,Color,5.535308302740532,0.05148667024126536
BM,765.4361956262528,1,343,765.4479258315314,colorPC1,IAA,Color,180.07045858796585,6.484380221199266e-40
EB,767.4971155136118,1,343,767.5088457188904,colorPC1,IAA,Color,182.13137847532482,2.3139043634694597e-40
OU,590.9006697813128,1,343,590.9123999865914,colorPC1,IAA,Color,5.53493274302582,0.051496339308658635
OUM_Diet,585.1994257005389,5,343,585.3774672435655,colorPC1,IAA,Color,0,0.8197317030121739
OUM_Habitat,595.7659813663595,7,343,596.1003097245684,colorPC1,IAA,Color,10.722842481002886,0.003848008934935645
OUM_Symbiosis,593.2198302042766,5,343,593.3978717473033,colorPC1,IAA,Color,8.020404503737723,0.014861512886118793
DDlin,691.0432571885561,3,343,691.1140536487331,colorPC1,IAA,Color,105.7365864051676,8.979739253752499e-24
DDexp,590.5839828638932,3,343,590.6547793240702,colorPC1,IAA,Color,5.277312080504657,0.058575765616847776
MC,767.4963780488754,3,343,767.5671745090524,colorPC1,IAA,Color,182.18970726548685,2.2473953047717323e-40
WN,357.6015792020642,1,343,357.6133094073428,colorPC1,CPO,Color,7.584268081074015,0.009763512778366821
BM,429.34143753701414,1,343,429.3531677422927,colorPC1,CPO,Color,79.32412641602394,2.5792521147910967e-18
EB,431.4397673560369,1,343,431.4514975613155,colorPC1,CPO,Color,81.4224562350467,9.03331728281215e-19
OU,350.2123529521123,1,343,350.2240831573909,colorPC1,CPO,Color,0.1950418311221256,0.3927861736765679
OUM_Diet,354.13388732967854,5,343,354.31192887270527,colorPC1,CPO,Color,4.282887546436484,0.05087351828939619
OUM_Habitat,353.43945670183257,6,343,353.68945670183257,colorPC1,CPO,Color,3.6604153755637867,0.06944802313679399
OUM_Symbiosis,354.41930168301326,5,343,354.59734322604,colorPC1,CPO,Color,4.5683018997712,0.04410774286178757
DDlin,391.0191502675753,3,343,391.0899467277523,colorPC1,CPO,Color,41.060905401483524,5.251056225829626e-10
DDexp,349.9582448660918,3,343,350.0290413262688,colorPC1,CPO,Color,0,0.4330210287319819
MC,431.4390940623415,3,343,431.5098905225185,colorPC1,CPO,Color,81.48084919624972,8.77338916713579e-19
WN,46.12492008326227,1,343,46.136650288540864,colorPC1,EPO,Color,0,0.4735044233327587
BM,53.136962267362655,1,343,53.14869247264125,colorPC1,EPO,Color,7.0120421841003875,0.014212760137115211
EB,55.93121678742691,1,343,55.94294699270551,colorPC1,EPO,Color,9.806296704164644,0.0035149064214618285
OU,48.61219889114756,1,343,48.62392909642615,colorPC1,EPO,Color,2.487278807885289,0.1365269253412083
OUM_Diet,53.85190322819239,5,343,54.0299447712191,colorPC1,EPO,Color,7.893294482678236,0.009147805486887924
OUM_Habitat,49.62627523063508,4,343,49.74461842590135,colorPC1,EPO,Color,3.607968137360487,0.07795854302250711
OUM_Symbiosis,48.564004867723234,4,343,48.682348062989504,colorPC1,EPO,Color,2.545697774448641,0.13259672341310222
DDlin,51.6829561106226,3,343,51.75375257079959,colorPC1,EPO,Color,5.6171022822587275,0.028548663238384807
DDexp,48.801609132888906,3,343,48.8724055930659,colorPC1,EPO,Color,2.7357553045250356,0.12057640303632158
MC,55.931082908283344,3,343,56.00187936846034,colorPC1,EPO,Color,9.865229079919473,0.0034128465702523395
WN,88.25054240080256,1,343,88.26227260608115,colorPC1,AO,Color,0,0.44826431498565983
BM,111.42686123581225,1,343,111.43859144109085,colorPC1,AO,Color,23.176318835009695,4.157770149155877e-6
EB,113.90571217134853,1,343,113.91744237662712,colorPC1,AO,Color,25.655169770545967,1.2038845347970443e-6
OU,90.05618617250873,1,343,90.06791637778733,colorPC1,AO,Color,1.8056437717061726,0.18173710438272944
OUM_Diet,91.12491545742414,5,343,91.30295700045085,colorPC1,AO,Color,3.0406843943696913,0.09800719066019471
OUM_Habitat,98.01410555592496,6,343,98.26410555592496,colorPC1,AO,Color,10.001832949843802,0.0030176143603954184
OUM_Symbiosis,91.58392267947639,4,343,91.70226587474266,colorPC1,AO,Color,3.4399932686615102,0.08026923428990489
DDlin,103.18631745883913,3,343,103.25711391901612,colorPC1,AO,Color,14.994841312934966,2.485683032052353e-4
DDexp,89.92458271886998,3,343,89.99537917904698,colorPC1,AO,Color,1.7331065729658235,0.18844944238693015
MC,113.90549598732257,3,343,113.97629244749956,colorPC1,AO,Color,25.714019841418406,1.168976296462732e-6
WN,315.3584335522956,1,343,315.3701637575742,colorPC2,IO,Color,30.21609403605271,2.5549673771249987e-7
BM,388.2348864132731,1,343,388.2466166185517,colorPC2,IO,Color,103.09254689703022,3.823531655803095e-23
EB,390.34682647573084,1,343,390.3585566810094,colorPC2,IO,Color,105.20448695948795,1.3300339676749128e-23
OU,308.01151559546867,1,343,308.02324580074725,colorPC2,IO,Color,22.86917607922578,1.0063483134152929e-5
OUM_Diet,309.6456044938501,5,343,309.8236460368768,colorPC2,IO,Color,24.669576315355357,4.090688211133501e-6
OUM_Habitat,290.0098789341961,7,343,290.34420729240503,colorPC2,IO,Color,5.190137570883564,0.0694548788070106
OUM_Symbiosis,284.97602817849474,5,343,285.15406972152147,colorPC2,IO,Color,0,0.9305223558041406
DDlin,351.9800165948463,3,343,352.0508130550233,colorPC2,IO,Color,66.89674333350183,2.7687488807112095e-15
DDexp,308.3243831708798,3,343,308.3951796310568,colorPC2,IO,Color,23.24110990953534,8.355720762988287e-6
MC,390.36639154741033,3,343,390.43718800758734,colorPC2,IO,Color,105.28311828606587,1.2787573911197256e-23
WN,582.3002279746687,1,343,582.3119581799473,colorPC2,IAA,Color,57.94446568036744,2.6137558790480557e-13
BM,699.3356399388557,1,343,699.3473701441343,colorPC2,IAA,Color,174.97987764455445,1.0077393589999999e-38
EB,701.3965374692189,1,343,701.4082676744974,colorPC2,IAA,Color,177.0407751749176,3.59608549590204e-39
OU,563.5560241440877,1,343,563.5677543493663,colorPC2,IAA,Color,39.20026184978644,3.072678830515889e-9
OUM_Diet,555.1208385596749,5,343,555.2988801027016,colorPC2,IAA,Color,30.93138760312172,1.9190239582280513e-7
OUM_Habitat,538.9206583993721,7,343,539.254986757581,colorPC2,IAA,Color,14.887494258001198,5.847464188825628e-4
OUM_Symbiosis,524.1894509565532,5,343,524.3674924995798,colorPC2,IAA,Color,0,0.9994150234619483
DDlin,627.5951324023828,3,343,627.6659288625598,colorPC2,IAA,Color,103.29843636297994,3.7048908927705254e-23
DDexp,558.6231591108727,3,343,558.6939555710497,colorPC2,IAA,Color,34.3264630714699,3.5143832955145135e-8
MC,701.3953455127687,3,343,701.4661419729457,colorPC2,IAA,Color,177.09864947336587,3.4935162216538935e-39
