estimate,SE,t,p,term,lower,upper,PC,predictor,best_correlation,param,p_FDR
-0.06368252982214413,0.1689034604156885,-0.3770350806633268,0.7063813720856406,(Intercept),-0.395902908820691,0.2685378491764028,PC1,NULL,Pagel,0.1854004674678554,NA
-0.11476054278647647,0.19587491318607225,-0.5858868852565065,0.5583379658729857,(Intercept),-0.5000317369635028,0.2705106513905498,PC2,NULL,Pagel,0.265689263909129,NA
-0.058508783849993154,0.1182328594916972,-0.49486060052621733,0.6210162801361905,(Intercept),-0.29106390908983787,0.17404634138985153,PC3,NULL,Pagel,0.07880109027082903,NA
-0.17827590395426215,0.12523182968210134,-1.4235670308963162,0.15549975534227406,(Intercept),-0.4246130973824859,0.06806128947396162,PC4,Habitat_Diet,Pagel,-0.07986947242513105,NA
0.17009963785656967,0.15457191449142,1.100456304861331,0.2719211212878018,Habitatcoral-reef,-0.13395095132112633,0.4741502270342657,PC4,Habitat_Diet,Pagel,-0.07986947242513105,0.5438422425756037
-0.07229824963736234,0.14800885443674447,-0.48847246276242834,0.6255338681198782,Habitatrocky-reef,-0.3634389755776236,0.2188424763028989,PC4,Habitat_Diet,Pagel,-0.07986947242513105,0.7506406417438538
0.5500153720291975,0.17935796696269518,3.0665789836009663,0.0023409097098911367,Habitatsea anemone,0.19720939360710654,0.9028213504512884,PC4,Habitat_Diet,Pagel,-0.07986947242513105,0.00702272912967341
-0.31541076387603345,0.553743320492373,-0.5695974149098161,0.5693313882794937,Habitatfreshwater,-1.4046512213219136,0.7738296935698465,PC4,Habitat_Diet,Pagel,-0.07986947242513105,0.7506406417438538
0.47511764985753985,0.07015925663367957,6.7719880833153265,5.68671214916193e-11,DietEcotypeBenthic,0.3371109273172458,0.6131243723978339,PC4,Habitat_Diet,Pagel,-0.07986947242513105,3.412027289497158e-10
-0.0016353540323744149,0.04968982946989119,-0.03291124259875621,0.973764908847623,DietEcotypePelagic,-0.09937770248014687,0.09610699441539804,PC4,Habitat_Diet,Pagel,-0.07986947242513105,0.973764908847623
-0.0040188343339029155,0.05567444938832373,-0.07218453667807197,0.9424972462881261,(Intercept),-0.11352628095935002,0.10548861229154419,PC5,NULL,OU,1.0441088142767834,NA
0.042204978134473776,0.18423299809178295,0.2290847924726693,0.8189399443060701,(Intercept),-0.3201674463230042,0.40457740259195174,PC6,NULL,Pagel,0.2357421714880398,NA
0.03345836075167685,0.23581891255525878,0.14188158358094646,0.8872570829286237,(Intercept),-0.43037967022365736,0.49729639172701107,PC7,NULL,Pagel,0.3681446784179716,NA
0.0049052375364742285,0.16770255833917128,0.02924962853908045,0.9766825611399537,(Intercept),-0.3249530575709623,0.33476353264391073,PC8,NULL,Pagel,0.17885684544461605,NA
