estimate,SE,t,p,term,lower,upper,PC,predictor,best_correlation,param,p_FDR
-0.10323336069957176,0.10931364188655018,-0.9443776542246322,0.3456433778876682,(Intercept),-0.31824505701344974,0.11177833561430625,PC1,NULL,Pagel,0.06518801178988962,NA
0.0379222925038979,0.21450312628946777,0.17679132775306272,0.8597769492722369,(Intercept),-0.3839891931274586,0.4598337781352544,PC2,NULL,Pagel,0.3155595369473906,NA
0.042206273859492056,0.21199289400142288,0.1990928708167396,0.8423084076365822,(Intercept),-0.3747677740186282,0.4591803217376123,PC3,NULL,Pagel,0.30970987470368755,NA
-0.009548535147805948,0.2443261173460124,-0.03908110705284692,0.9688485268736866,(Intercept),-0.4901195968902227,0.4710225265946108,PC4,NULL,Pagel,0.3918244727256219,NA
-0.10002538254524301,0.17762669297424713,-0.5631213466308524,0.5737234110907086,(Intercept),-0.4494110010851851,0.2493602359946991,PC5,DietEcotype,Pagel,0.1154799513490348,NA
0.016340155335769047,0.1783026273149326,0.09164281862716323,0.9270357995344762,DietEcotypeBenthic,-0.3343750028907956,0.3670553135623337,PC5,DietEcotype,Pagel,0.1154799513490348,0.9270357995344762
0.41465198571218953,0.14709524739272825,2.8189353025466146,0.00510055399514357,DietEcotypePelagic,0.1253206744433068,0.7039832969810722,PC5,DietEcotype,Pagel,0.1154799513490348,0.01020110799028714
0.05194236535829385,0.2846742767763045,0.18246244777187887,0.8553279300691332,(Intercept),-0.5079904855673383,0.611875216283926,PC6,NULL,Pagel,0.6278301195077598,NA
-0.031604165228540856,0.19548800157441243,-0.1616680562183288,0.8716627263264944,(Intercept),-0.41611433342097087,0.35290600296388913,PC7,NULL,Pagel,0.2655080154384265,NA
-0.08826429268827539,0.14755429209650048,-0.5981818043662909,0.5501145563315951,(Intercept),-0.3784924663593013,0.20196388098275048,PC8,NULL,Pagel,0.13940789519054006,NA
